City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
306,Dunmore Town,BS,25.5,-76.65,73.58,67,98,21.0,overcast clouds
307,Inuvik,CA,68.3499,-133.7218,-23.3,100,100,4.76,overcast clouds
308,Hovd,MN,48.0056,91.6419,-5.93,93,93,2.39,overcast clouds
309,Adelaide,AU,-34.9333,138.6,61.16,71,20,1.01,few clouds
310,Severo-Kurilsk,RU,50.6789,156.125,29.7,82,100,9.93,overcast clouds
311,San Quintin,MX,30.4833,-115.95,53.31,29,1,5.88,clear sky
312,Grindavik,IS,63.8424,-22.4338,27.07,86,75,14.97,broken clouds
313,Adrar,MR,20.5022,-10.0711,80.06,9,0,15.19,clear sky
314,Codrington,AU,-38.2667,141.9667,56.46,69,16,11.5,few clouds
315,San Pedro,PH,14.35,121.0167,78.35,79,72,9.66,broken clouds
316,Kupang,ID,-10.1667,123.5833,78.85,86,99,11.3,overcast clouds
317,Alice,US,27.7523,-98.0697,42.24,87,100,19.57,overcast clouds
318,Tonota,BW,-21.4833,27.4833,93.87,27,71,8.84,broken clouds
319,Rochegda,RU,62.8,43.25,7.97,98,98,1.95,overcast clouds
320,Iqaluit,CA,63.7506,-68.5145,-7.31,63,75,4.0,broken clouds
321,Chapais,CA,49.7834,-74.8492,-10.84,84,97,7.52,overcast clouds
322,Talakan,RU,50.3167,130.3667,-19.79,100,89,1.77,overcast clouds
323,Paka,MY,4.6374,103.4368,77.2,87,88,6.29,overcast clouds
324,Bambanglipuro,ID,-7.95,110.2833,63.61,85,100,2.06,moderate rain
325,Inhambane,MZ,-23.865,35.3833,83.73,64,0,11.83,clear sky
326,Asosa,ET,10.0667,34.5333,81.52,23,95,5.55,overcast clouds
327,Vilhena,BR,-12.7406,-60.1458,77.11,87,90,5.28,moderate rain
328,Cabo San Lucas,MX,22.8909,-109.9124,68.5,71,0,3.0,clear sky
329,Awjilah,LY,29.1081,21.2869,61.65,34,31,24.54,scattered clouds
330,Soyo,AO,-6.1349,12.3689,81.52,64,78,10.18,broken clouds
331,Batemans Bay,AU,-35.7167,150.1833,59.92,82,11,9.4,few clouds
332,Brandfort,ZA,-28.7001,26.4597,74.21,66,81,10.78,light rain
333,Valentin Gomez Farias,MX,28.2167,-106.5833,37.11,68,10,2.35,clear sky
334,Orikum,AL,40.3253,19.4714,49.96,52,1,18.99,clear sky
335,Zhuhai,CN,22.2769,113.5678,57.97,82,40,14.97,scattered clouds
336,Arrecife,ES,28.963,-13.5477,73.47,68,100,6.91,overcast clouds
337,Tiksi,RU,71.6872,128.8694,-10.93,99,100,4.61,overcast clouds
338,Hope,US,33.6671,-93.5916,36.75,96,100,9.8,light snow
339,Lima,PE,-12.0432,-77.0282,74.39,76,0,1.01,clear sky
340,Fosses,FR,49.0981,2.5096,46.81,80,75,8.05,broken clouds
341,Nabire,ID,-3.3667,135.4833,75.33,93,100,3.76,overcast clouds
